,quality,article_length,num_wikilinks,num_external_links,num_images,info_noise,num_refs,num_headings
Gyeongju,7.0,6173,1082,201,28,0.2668070630163616,207,27
North Road (Manchester),7.0,946,163,7,3,0.3562367864693446,23,8
Chelsea Bridge,7.0,3266,384,15,11,0.2887323943661972,5,16
Thomas Percy (Gunpowder Plot),7.0,2742,262,18,3,0.2913931436907367,5,6
The Million Dollar Homepage,7.0,1828,272,60,1,0.3413566739606127,54,9
Star Trek II: The Wrath of Khan,7.0,8095,813,57,7,0.2410129709697344,106,17
New Jersey Devils,7.0,6156,1209,198,23,0.22839506172839505,196,31
USS Orizaba (ID-1536),7.0,2356,295,39,7,0.2898981324278438,35,8
Bryce Canyon National Park,7.0,2781,682,28,16,0.3293779216109313,29,14
"Lock Haven, Pennsylvania",7.0,5150,757,78,20,0.2741747572815534,75,20
Harry Glicken,7.0,1847,186,22,2,0.3308067135896048,39,10
Hurricane Erika (2003),7.0,1285,162,21,6,0.3276264591439689,14,7
Blackburn Olympic F.C.,7.0,2515,320,10,8,0.27793240556660037,54,14
Lionel Palairet,7.0,4024,454,78,5,0.22564612326043737,5,12
Panic of 1907,7.0,4715,520,34,12,0.240084835630965,7,20
The Long and Winding Road,7.0,2071,429,21,2,0.28247223563495893,25,15
Urse d'Abetot,7.0,3191,385,26,3,0.23660294578502036,6,15
Final Fantasy VIII,7.0,5206,540,59,5,0.2593161736457933,107,17
Nicolo Giraud,7.0,2421,229,11,3,0.28707145807517553,1,5
Tjioeng Wanara,7.0,910,130,18,2,0.3659340659340659,1,8
Populous: The Beginning,7.0,1804,191,27,3,0.3148558758314856,24,9
Tales of Wonder (magazine),7.0,1269,118,2,1,0.27344365642237983,6,6
Future Science Fiction and Science Fiction Stories,7.0,3237,264,4,3,0.2304603027494594,3,8
Retiarius,7.0,3681,291,8,6,0.2719369736484651,67,7
"Triptych, May–June 1973",7.0,2608,215,8,4,0.30253067484662577,35,6
Bart King,7.0,2727,209,24,7,0.2511917858452512,25,12
Eurasian tree sparrow,7.0,3295,565,111,15,0.29256449165402126,79,14
Suillus salmonicolor,7.0,1868,265,45,4,0.33244111349036404,39,10
Lōʻihi Seamount,7.0,3427,413,81,6,0.2544499562299387,37,17
Acute myeloid leukemia,7.0,3601,585,149,7,0.2502082754790336,85,29
The Fifth Element,7.0,4734,669,150,3,0.2893958597380651,2,18
Book of Kells,7.0,6268,351,34,17,0.19304403318442884,49,17
John Sherman Cooper,7.0,7172,898,20,7,0.24972113775794758,108,14
Florida Atlantic University,7.0,5470,820,147,20,0.24625228519195613,127,31
"O heilges Geist- und Wasserbad, BWV 165",7.0,2072,615,28,5,0.32432432432432434,32,20
"Hamersley, Western Australia",7.0,4619,433,45,13,0.2727863173847153,77,15
Johannes Kepler,7.0,7838,696,76,22,0.2501913753508548,96,31
Her Majesty's Theatre,7.0,5940,752,57,19,0.2745791245791246,87,17
Rivadavia-class battleship,7.0,3635,405,45,13,0.28060522696011003,16,13
13th Waffen Mountain Division of the SS Handschar (1st Croatian),7.0,8962,876,28,13,0.20017853157777282,11,43
Lynching of Jesse Washington,7.0,4248,489,15,9,0.2603578154425612,113,14
History of Stoke City F.C.,7.0,4687,937,130,4,0.24557286110518456,152,9
Casablanca (film),7.0,6565,1039,82,7,0.2679360243716679,139,23
Sound film,7.0,10347,770,100,19,0.22711897168261333,168,22
Jersey Shore shark attacks of 1916,7.0,4137,376,25,7,0.270002417210539,74,10
Fort Ticonderoga,7.0,4201,672,49,20,0.25232087598190905,89,21
New York State Route 319,7.0,1239,159,23,7,0.255044390637611,27,10
Brabham,7.0,6283,868,31,18,0.20818080534776381,80,23
Myles Standish,7.0,4406,381,31,11,0.25329096686336816,77,14
Armament of the Iowa-class battleship,7.0,6461,365,41,28,0.20445751431666925,45,28
Australia at the Winter Olympics,7.0,7955,1026,114,6,0.1997485857950974,180,26
Aleeta curvicosta,7.0,2297,276,34,4,0.3347845015237266,38,12
Fortress of Mimoyecques,7.0,3558,432,29,16,0.2810567734682406,3,13
Pauline Fowler,7.0,7094,831,65,4,0.2313222441499859,96,18
2010 Lamar Hunt U.S. Open Cup Final,7.0,3237,580,75,6,0.23694779116465864,42,15
Kappa Kappa Psi,7.0,4311,399,85,11,0.25005799118533983,80,23
"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",7.0,3986,606,58,12,0.27947817360762667,57,21
2003 Insight Bowl,7.0,5003,458,75,4,0.18768738756745953,78,20
In Rainbows,7.0,3613,524,98,2,0.28065319678937173,92,16
Petrified Forest National Park,7.0,4740,689,48,21,0.27531645569620256,50,16
The Boat Race 1993,7.0,1479,371,24,7,0.3191345503718729,32,7
Folding@home,7.0,6977,1055,418,12,0.2033825426401032,198,26
Grass Fight,7.0,1181,229,6,4,0.3336155800169348,17,7
Ninja Gaiden (NES video game),7.0,5212,439,84,5,0.22486569455103608,93,14
Jay Pritzker Pavilion,7.0,4558,880,125,21,0.2711715664765248,121,12
Thích Quảng Đức,7.0,3549,403,19,12,0.3127641589180051,49,15
SS Kroonland,7.0,8588,926,132,13,0.23963670237540755,16,20
Pontiac's War,7.0,6873,682,20,9,0.20442310490324458,114,23
Komodo dragon,7.0,4479,668,88,19,0.2971645456575128,77,20
Chaplain–Medic massacre,7.0,2038,368,6,6,0.28213935230618253,41,15
Bart Simpson,7.0,6110,824,103,10,0.2448445171849427,163,16
Numerical weather prediction,7.0,4307,564,119,9,0.21267703738100766,90,18
300 (film),7.0,5273,788,229,9,0.3005879006258297,140,19
"John Bingham, 7th Earl of Lucan",7.0,7551,565,32,6,0.22500331081975897,6,20
Cannibal Holocaust,7.0,5586,410,33,2,0.24203365556749015,61,20
Operation Tungsten,7.0,4922,404,9,10,0.20499796830556685,91,7
Harriet Arbuthnot,7.0,2264,253,18,4,0.31492932862190814,29,8
Quneitra,7.0,3126,590,33,9,0.30646193218170187,59,16
Laurence of Canterbury,7.0,1312,558,10,4,0.2995426829268293,31,10
Characters of Carnivàle,7.0,8514,632,85,8,0.2136481089969462,118,34
FairTax,7.0,8055,921,115,11,0.18075729360645562,106,27
"José Paranhos, Viscount of Rio Branco",7.0,8066,947,5,18,0.24944210265311184,9,25
1880 Republican National Convention,7.0,6534,751,7,10,0.2033976124885216,2,14
Kit (association football),7.0,4041,418,85,11,0.24523632764167286,88,12
George I of Greece,7.0,4009,674,20,20,0.2881017710152158,86,15
The Bartered Bride,7.0,4461,307,21,7,0.27437794216543376,53,21
"Chetwynd, British Columbia",7.0,3424,421,51,16,0.31220794392523366,48,12
Cane toad,7.0,3946,597,53,9,0.2853522554485555,120,21
1981 Irish hunger strike,7.0,2986,755,47,6,0.2883456128600134,61,12
Surrender of Japan,7.0,9938,1244,62,22,0.20104648822700744,161,27
1923 FA Cup Final,7.0,3084,831,45,7,0.26394293125810636,52,11
Lung cancer,7.0,5162,955,361,22,0.2557148392096087,169,33
Soeara Berbisa,7.0,795,109,12,6,0.4050314465408805,4,8
American white ibis,7.0,5178,510,160,13,0.24758594051757435,73,16
Nancy Mitford,7.0,6213,622,56,8,0.2810236600676002,14,30
Peasants' Revolt,7.0,9228,1369,13,17,0.21348071087993065,16,27
Cougar,7.0,6459,1289,219,20,0.2525158693296176,154,24
Meerkat Manor: The Story Begins,7.0,1495,131,26,1,0.3010033444816054,23,7
Toronto Magnetic and Meteorological Observatory,7.0,1828,220,20,6,0.3238512035010941,1,9
Lundomys,7.0,2292,451,21,2,0.29799301919720766,1,9
Norman conquest of England,7.0,5884,792,14,15,0.23198504418762747,14,26
University of Michigan,7.0,7703,1409,230,16,0.25665325197974814,192,25
Dobroslav Jevđević,7.0,3493,540,28,10,0.26882336100772974,49,9
Common toad,7.0,4075,367,60,16,0.285398773006135,55,13
Blackwater fire of 1937,7.0,2460,207,35,5,0.26747967479674795,4,13
Great North of Scotland Railway,7.0,10477,1162,44,32,0.16369189653526772,16,40
Final Fantasy XII,7.0,5591,666,115,7,0.2543373278483277,158,16
Russian battleship Rostislav,7.0,3495,425,14,2,0.3072961373390558,6,17
Princess Helena of the United Kingdom,7.0,4243,589,30,9,0.26702804619373083,89,25
Aquaman (TV pilot),7.0,1993,288,70,3,0.3156046161565479,46,12
Cleveland Street scandal,7.0,2700,241,1,7,0.27666666666666667,57,9
Hippopotamus,7.0,4737,1064,144,22,0.30018999366687776,98,20
Hugh Walpole,7.0,6736,633,49,16,0.26365795724465557,21,17
BP Pedestrian Bridge,7.0,2736,573,82,14,0.3092105263157895,63,11
Interstate 696,7.0,2007,268,57,11,0.3034379671150972,36,11
Liberty Head double eagle,7.0,4447,459,4,10,0.2444344501911401,1,11
Yao Ming,7.0,4105,903,182,12,0.26041412911084044,162,25
"Albert, Prince Consort",7.0,4699,886,42,19,0.30708661417322836,132,18
Halo 2,7.0,4365,541,76,7,0.26735395189003436,1,17
Fairfax Harrison,7.0,2254,219,29,6,0.3256433007985803,1,15
Parasaurolophus,7.0,4241,641,58,15,0.27234142890827634,55,24
Asser,7.0,3469,252,19,3,0.23955030268088787,24,12
23rd Waffen Mountain Division of the SS Kama (2nd Croatian),7.0,1982,299,9,3,0.28557013118062563,29,10
Battle of Tory Island,7.0,4591,388,12,6,0.22587671531256806,50,17
Ailanthus altissima,7.0,5050,510,65,11,0.27782178217821785,1,17
Interstate 70 in West Virginia,7.0,1376,217,46,6,0.2688953488372093,36,6
The King and I,7.0,10928,973,99,20,0.21842972181551976,178,24
U.S. Route 41 in Michigan,7.0,5880,604,83,17,0.20051020408163264,102,22
Raccoon,7.0,7116,1604,80,40,0.2729061270376616,273,34
L. Ron Hubbard,7.0,15325,1497,108,21,0.21396411092985318,333,19
"Forest Park (Portland, Oregon)",7.0,3467,792,56,10,0.30573983270839344,61,13
Cheadle Hulme,7.0,4637,692,86,12,0.25965063618719,128,18
Early life of Keith Miller,7.0,3494,345,10,4,0.272180881511162,59,9
Synthetic diamond,7.0,4768,475,168,9,0.2462248322147651,111,24
Silent Hill 4: The Room,7.0,2526,359,72,4,0.3155186064924782,78,12
September 1964 South Vietnamese coup attempt,7.0,5002,367,4,9,0.23610555777688924,39,11
Assassination of Robert F. Kennedy,7.0,4127,480,82,8,0.29197964623212985,82,17
Laura Secord,7.0,3607,471,53,11,0.286387579706127,6,20
Nine Inch Nails live performances,7.0,4204,575,89,8,0.25428163653663177,96,16
Planet,7.0,7204,1035,222,45,0.19961132704053303,9,40
Nicky Barr,7.0,2859,269,22,4,0.2945085694298706,48,6
Chorioactis,7.0,2299,254,52,8,0.30795998260113094,36,9
HMS Argus (I49),7.0,3922,570,9,4,0.23737888832228454,42,8
Rongorongo,7.0,4779,935,53,81,0.25256329776103786,19,26
Pioneer Zephyr,7.0,3121,484,40,12,0.27715475809035567,37,13
Choiseul pigeon,7.0,1837,210,12,7,0.2743603701687534,28,10
Zoo TV Tour,7.0,9439,1277,46,10,0.24515308825087403,174,26
2006 Chick-fil-A Bowl,7.0,4673,479,53,4,0.20329552749839502,54,19
SMS Nassau,7.0,2928,293,9,6,0.2780054644808743,3,9
Thoughts on the Education of Daughters,7.0,2944,221,6,8,0.28328804347826086,38,14
U.S. Route 491,7.0,2355,301,47,15,0.26794055201698513,37,15
2007 United States Air Force nuclear weapons incident,7.0,3703,234,56,10,0.21874156089657035,48,13
We Can Do It!,7.0,2158,226,48,6,0.3169601482854495,43,10
"Hamilton, Ontario",7.0,4932,1028,111,26,0.2937956204379562,2,17
Joseph Priestley,7.0,9295,918,72,30,0.22442173211403982,195,32
Campbell's Soup Cans,7.0,4111,426,25,12,0.2636828022378983,73,12
"Jesus nahm zu sich die Zwölfe, BWV 22",7.0,3132,680,37,13,0.2940613026819923,1,21
George Washington (inventor),7.0,2033,250,42,6,0.34776192818494833,30,12
Vision in White,7.0,1576,119,14,2,0.32423857868020306,23,8
Hurricane Edith (1971),7.0,1898,235,27,6,0.28714436248682823,19,9
Rhodesian mission in Lisbon,7.0,7764,748,22,10,0.2132921174652241,10,29
Surface weather analysis,7.0,2769,279,49,10,0.23654749006861683,37,19
Battle of Vukovar,7.0,11647,1505,94,29,0.20640508285395381,207,27
Shangani Patrol,7.0,6039,619,20,10,0.24623282000331181,5,16
Allan Walters,7.0,2435,368,48,5,0.29568788501026694,68,7
Children of Mana,7.0,2719,342,48,2,0.2603898492092681,1,11
Order of the Bath,7.0,5336,769,37,93,0.2143928035982009,110,20
Dudley Clarke,7.0,5892,496,20,5,0.2298031228784793,53,24
Nottingham Panthers,7.0,5034,685,124,5,0.21275327771156138,90,18
Bill Brown (cricketer),7.0,5771,723,65,7,0.22803673540114364,85,14
Joan of Arc,7.0,6545,585,126,24,0.2582123758594347,102,24
Subway Sadie,7.0,1057,148,30,5,0.35572374645222327,29,7
New York State Route 28,7.0,2693,385,29,11,0.19717786854808764,34,16
"Steamtown, U.S.A.",7.0,5397,379,68,19,0.22827496757457846,57,22
James G. Blaine,7.0,8088,1404,51,22,0.23269040553907022,11,34
Eremoryzomys,7.0,1675,378,9,2,0.2847761194029851,2,9
Circinus,7.0,1874,527,65,5,0.33404482390608325,49,9
Tropical Depression Ten (2005),7.0,622,105,14,3,0.34887459807073956,8,6
Chinua Achebe,7.0,10156,807,69,17,0.22922410397794407,210,29
Manila Light Rail Transit System,7.0,5135,761,97,26,0.2510223953261928,80,20
Ancient Egyptian literature,7.0,7055,1037,15,25,0.22593905031892275,190,21
Joking Apart,7.0,3982,341,28,4,0.2621798091411351,58,15
Admiralty Islands campaign,7.0,8328,628,55,12,0.20761287223823247,123,24
Tropical Storm Faxai (2007),7.0,1031,154,28,4,0.34626576139670223,21,6
Biscayne National Park,7.0,7699,1350,102,24,0.24042083387452917,145,27
Nguyễn Chánh Thi,7.0,6595,550,9,5,0.2353297952994693,90,12
British Empire,7.0,9841,1848,76,31,0.21247840666598922,231,31
Lockdown (2008),7.0,3504,369,43,5,0.20690639269406394,40,14
John L. Helm,7.0,2477,417,13,7,0.29794105773112634,43,10
Mulholland Drive (film),7.0,9793,716,94,6,0.21433677116307567,127,20
Manchester Mark 1,7.0,2726,195,19,4,0.2553191489361702,32,11
Epaminondas,7.0,6830,415,64,7,0.21683748169838946,94,29
Chris Gragg,7.0,1752,427,81,1,0.2888127853881279,2,8
Chandralekha (1948 film),7.0,5577,662,162,5,0.2777478931325085,11,21
SS Ohioan (1914),7.0,1797,268,28,4,0.3567056204785754,6,9
SMS Kaiser (1911),7.0,3994,390,12,8,0.24687030545818728,4,11
Right whale,7.0,4723,582,80,13,0.25661655727291977,1,25
Star Trek: First Contact,7.0,10353,996,59,4,0.22747029846421327,121,18
Venture Science Fiction,7.0,1898,114,3,2,0.2702845100105374,13,7
Early life and military career of John McCain,7.0,7777,1248,110,40,0.2770991384852771,223,20
Redwood National and State Parks,7.0,3901,1358,55,14,0.2842860804921815,45,16
Grover Cleveland,7.0,8889,1530,75,35,0.24434694566317922,244,46
Flight Unlimited II,7.0,1799,267,49,3,0.3235130628126737,32,7
Kahaani,7.0,4470,541,138,11,0.3069351230425056,5,17
Final Fantasy X,7.0,5316,641,102,6,0.24492099322799096,149,20
Cross of Gold speech,7.0,7354,439,11,9,0.21471308131629047,108,18
Conatus,7.0,3797,425,42,7,0.23070845404266527,68,20
Queen Elizabeth The Queen Mother,7.0,5632,1041,78,15,0.29438920454545453,2,24
Pacific swift,7.0,2062,232,24,4,0.3137730358874879,1,13
Elias Ashmole,7.0,2881,287,29,10,0.31169732731690386,43,8
Taare Zameen Par,7.0,5811,691,157,8,0.270521424883841,121,28
Terry-Thomas,7.0,8647,1104,63,18,0.25800855788134613,25,17
22nd Regiment Massachusetts Volunteer Infantry,7.0,5052,391,21,8,0.19912905779889153,72,26
Nothing to My Name,7.0,1353,170,15,2,0.2934220251293422,36,8
Thomas of Bayeux,7.0,2223,377,11,3,0.27080521817363923,3,9
Hurricane Charley (1986),7.0,2530,242,33,6,0.2699604743083004,26,8
Flood (Halo),7.0,2543,244,31,6,0.2972866692882422,45,14
Richard Williams (RAAF officer),7.0,3791,454,42,9,0.2867317330519652,75,12
"St Helen's Church, Ashby-de-la-Zouch",7.0,2603,307,21,10,0.3084902036112178,44,12
"Albert Bridge, London",7.0,2745,284,20,9,0.2877959927140255,5,11
Radiohead,7.0,5866,762,140,6,0.24309580634162972,142,19
A Quiet Night In,7.0,2632,244,51,4,0.2857142857142857,1,10
Lindow Man,7.0,3302,393,19,9,0.257419745608722,1,12
SMS Von der Tann,7.0,6085,643,9,13,0.2343467543138866,7,15
J. R. Richard,7.0,5375,760,91,3,0.20930232558139536,86,20
Zelda Fitzgerald,7.0,6198,537,30,8,0.26734430461439174,105,13
Russian battleship Poltava (1894),7.0,2568,277,6,6,0.29283489096573206,2,12
War of the Bavarian Succession,7.0,6309,454,9,11,0.23775558725630053,3,21
Fuji-class battleship,7.0,2067,372,10,6,0.3362360909530721,3,12
Brill railway station,7.0,1593,379,14,6,0.288135593220339,7,10
Casino Royale (2006 film),7.0,5823,704,160,6,0.2782071097372488,120,19
Thomas Ellison,7.0,2333,304,26,3,0.28204029147021004,12,14
The Boat Race 2012,7.0,1667,379,46,6,0.31073785242951407,38,11
Lord of the Universe,7.0,1803,212,21,3,0.3366611203549639,31,10
McDonnell XF-85 Goblin,7.0,2199,461,12,7,0.3292405638926785,10,9
D-Day naval deceptions,7.0,1614,280,2,4,0.298636926889715,12,8
Hurricane Hazel,7.0,4077,534,53,8,0.25067451557517784,58,16
Kelpie,7.0,2706,595,46,3,0.3089430894308943,59,11
Yellowstone National Park,7.0,9492,1320,157,41,0.2178676780446692,134,21
The Power of Nightmares,7.0,3262,326,65,3,0.2958307786633967,44,14
Australian green tree frog,7.0,2350,231,37,7,0.30425531914893617,27,12
Franco-Mongol alliance,7.0,7970,969,66,14,0.205771643663739,158,28
William D. Boyce,7.0,4733,871,24,12,0.27678005493344604,84,14
Stanley Bruce,7.0,11850,956,59,23,0.18666666666666668,225,21
Lavanify,7.0,1243,130,9,2,0.2855993563958166,17,6
Somerset County Cricket Club in 2009,7.0,3773,791,152,7,0.23323615160349853,5,20
Rise of Neville Chamberlain,7.0,7194,580,12,10,0.2269947178204059,3,22
Uruguayan War,7.0,4846,616,3,13,0.26578621543541064,6,21
Arthur W. Radford,7.0,4321,507,8,31,0.2596621152510993,41,20
1964 Brinks Hotel bombing,7.0,2010,169,6,4,0.3208955223880597,28,6
Enter the Wu-Tang (36 Chambers),7.0,3354,415,68,1,0.30172927847346454,58,26
Holkham Hall,7.0,2831,220,12,9,0.2928293889085129,29,11
Hugh Trumble,7.0,4255,474,72,6,0.2345475910693302,73,12
"World Science Festival, 2008",7.0,1640,209,84,4,0.36402439024390243,21,9
StarCraft: Ghost,7.0,1963,199,55,4,0.3138053998981151,41,8
Princess Charlotte of Wales,7.0,5812,518,19,11,0.23537508602890572,107,11
India,7.0,8277,2483,259,29,0.28440256131448594,5,28
An Experiment on a Bird in the Air Pump,7.0,3679,251,19,12,0.2731720576243544,42,10
Monkey Gone to Heaven,7.0,1599,191,18,2,0.31207004377736086,22,11
Evelyn Waugh,7.0,9415,944,34,11,0.2532129580456718,7,34
Royal Blue (train),7.0,2633,303,9,14,0.30915305734903153,37,10
Rumours (album),7.0,4104,897,71,4,0.28630604288499023,119,17
Frank Headlam,7.0,2244,318,31,5,0.2905525846702317,49,7
One Tree Hill (song),7.0,2801,391,34,3,0.2934666190646198,54,11
The Beatles: Rock Band,7.0,6184,816,136,11,0.2276843467011643,128,15
Jarrow March,7.0,5876,546,46,7,0.271783526208305,7,23
Gateshead International Stadium,7.0,4634,781,104,8,0.2723349158394476,2,14
Attalus I,7.0,3018,519,73,4,0.27335984095427435,59,13
"Music of Athens, Georgia",7.0,3078,264,48,6,0.30539311241065625,31,13
Plesiorycteropus,7.0,2555,340,13,3,0.2731898238747554,2,13
Raptor Red,7.0,2016,171,6,5,0.33482142857142855,26,8
First-move advantage in chess,7.0,6737,981,42,106,0.23556479145020037,180,20
Shadow the Hedgehog (video game),7.0,2626,436,46,4,0.2955064737242955,61,12
SMS Dresden (1907),7.0,3955,375,9,10,0.2675094816687737,2,13
The World Is Not Enough (song),7.0,3219,583,87,4,0.29263746505125815,70,18
Amchitka,7.0,2254,533,80,12,0.37089618456078083,44,14
Byzantine civil war of 1341–47,7.0,6263,496,6,8,0.2264090691361967,113,11
Battle of Tassafaronga,7.0,4073,596,23,12,0.23397986741959242,44,11
Wii,7.0,6560,1223,253,15,0.23323170731707318,1,28
SMS Helgoland,7.0,2885,344,16,5,0.2807625649913345,3,19
Bale Out,7.0,1579,259,69,9,0.31982267257758074,41,9
Tropical Storm Alberto (2006),7.0,2128,296,55,8,0.3026315789473684,44,11
"Aradia, or the Gospel of the Witches",7.0,3253,327,15,5,0.24838610513372272,44,9
McDonald's Cycle Center,7.0,2686,515,70,11,0.31422189128816086,56,12
Ode on Indolence,7.0,2112,199,12,2,0.29071969696969696,37,8
Governor of Kentucky,7.0,5426,815,56,9,0.21194249907851087,101,16
Melbourne Castle,7.0,2398,241,11,7,0.2964970809007506,6,11
Princess Maria Amélia of Brazil,7.0,2353,548,11,10,0.30386740331491713,3,16
McDonnell Douglas AV-8B Harrier II,7.0,6583,1032,184,15,0.23970833966276772,4,25
David I of Scotland,7.0,6483,873,22,27,0.22782662347678545,128,36
Peregrine falcon,7.0,4481,801,112,22,0.28609685338094176,6,20
Miniopterus aelleni,7.0,1188,248,8,1,0.29797979797979796,24,7
Angus Lewis Macdonald,7.0,6373,608,7,9,0.2516868037031226,129,26
Elvis Presley,7.0,16693,1922,105,18,0.20415743125861138,8,49
South Park (season 13),7.0,4029,620,176,5,0.2752544055596922,99,16
2001–02 South-West Indian Ocean cyclone season,7.0,3346,319,42,26,0.20203227734608487,36,20
Phil Hartman,7.0,4590,641,57,3,0.29215686274509806,78,18
Verdeja,7.0,2773,214,3,5,0.27948070681572307,49,9
Construction of the World Trade Center,7.0,5010,594,21,9,0.24530938123752494,112,17
On the Origin of Species,7.0,10594,1331,184,19,0.19831980366245044,217,37
Interstate 470 (Ohio–West Virginia),7.0,1193,235,64,7,0.2917015926236379,40,7
Mary Celeste,7.0,5897,503,29,11,0.2775987790401899,12,20
Oryzomys couesi,7.0,5680,962,62,13,0.2290492957746479,6,17
Ormulum,7.0,2193,113,6,5,0.2859097127222982,0,10
Frog,7.0,12360,1187,284,38,0.2057443365695793,202,31
Tau Ceti,7.0,2736,1243,123,4,0.26937134502923976,8,16
Tropical Storm Bill (2003),7.0,2955,366,74,7,0.2517766497461929,59,11
Metropolitan Railway,7.0,11876,1361,45,55,0.17051195688784102,40,39
Io (moon),7.0,6728,886,210,18,0.2049643281807372,107,26
Renewable energy in Scotland,7.0,7271,1130,175,14,0.22926695090083896,198,26
HMS New Zealand (1911),7.0,5264,428,23,10,0.22454407294832826,3,15
History of Arsenal F.C. (1886–1966),7.0,4478,459,35,10,0.2585975882090219,67,9
Second Ostend Raid,7.0,2667,186,10,4,0.27371578552680914,28,8
Covent Garden,7.0,4443,1230,124,17,0.25883412108935405,112,23
John Wark,7.0,3414,666,70,3,0.29349736379613356,3,24
Masked shrike,7.0,2335,201,27,5,0.3032119914346895,29,15
Lynn Hill,7.0,6331,561,53,9,0.22587268993839835,99,18
Lisa the Skeptic,7.0,1737,259,15,4,0.335636154289004,21,9
Lester Brain,7.0,2688,228,18,6,0.32328869047619047,38,10
Piano music of Gabriel Fauré,7.0,6256,550,21,12,0.2456841432225064,8,19
Bob McEwen,7.0,5211,529,22,6,0.26482440990213013,65,23
Royal National College for the Blind,7.0,4447,590,98,8,0.27636608949853836,109,14
Axis naval activity in Australian waters,7.0,6748,630,39,20,0.18953764078245405,114,26
Singapore strategy,7.0,6324,613,47,15,0.2387729285262492,117,12
Halo 3 Original Soundtrack,7.0,1413,218,38,3,0.3156404812455768,35,9
Camille Saint-Saëns,7.0,8323,801,74,16,0.24498377988705997,17,23
Banksia cuneata,7.0,3244,302,40,8,0.27373612823674476,36,16
The Shape of Things to Come (Lost),7.0,2594,453,67,2,0.3373168851195065,64,6
Giants: Citizen Kabuto,7.0,3180,484,85,3,0.30974842767295596,84,10
Samuel Merrill Woodbridge,7.0,773,149,13,4,0.34540750323415265,7,9
Neil Harvey with the Australian cricket team in England in 1948,7.0,4457,568,47,4,0.22840475656271034,104,12
2005 Texas Longhorns football team,7.0,8230,1197,355,15,0.19951397326852977,239,24
Panama–Pacific commemorative coins,7.0,4523,427,12,15,0.23590537254034932,2,12
Call of Duty 4: Modern Warfare,7.0,4656,483,98,5,0.251073883161512,92,20
Sid Barnes with the Australian cricket team in England in 1948,7.0,7236,835,56,3,0.2193200663349917,152,16
Sicilian Baroque,7.0,7956,551,38,22,0.21304675716440422,5,17
1975 Australian constitutional crisis,7.0,7281,653,22,6,0.18555143524241174,118,19
Alben W. Barkley,7.0,8879,1537,35,19,0.23854037616848744,184,25
Typhoon Paka,7.0,2178,270,34,7,0.27915518824609736,23,11
History of saffron,7.0,3401,383,44,9,0.3587180241105557,3,12
Nashville Sounds,7.0,8773,1128,146,31,0.19446027584634676,150,27
Cleomenean War,7.0,3981,362,24,6,0.231600100477267,2,13
Say Say Say,7.0,2260,662,36,3,0.318141592920354,50,12
Daniel Sedin,7.0,4966,692,143,7,0.21768022553362867,6,20
Surfer Rosa,7.0,2507,307,29,2,0.2863980853609892,51,15
Common tern,7.0,5459,617,90,16,0.24235207913537277,118,17
Frank McNamara (VC),7.0,2518,341,39,8,0.3054011119936457,46,10
Óengus I,7.0,2243,381,11,7,0.27284886312973694,47,12
Development of Grand Theft Auto V,7.0,5319,510,96,3,0.2378266591464561,95,13
Death of Ian Tomlinson,7.0,9058,400,159,10,0.17034665489070436,103,36
Premiership of John Edward Brownlee,7.0,7276,538,2,17,0.2197636063771303,135,23
